Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala;turno_tipo;necessita_sala;turma_ano;turma_num;turma_regime;sala_edificio;Dia_dt;num_sequencia;aula_id;Dia_iso
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL12;MEI-A2;9;Ter;16:00:00;17:30:00;13/12/2022;Sala Aulas Mestrado;C5.05;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;2.0;Diurno;C;2022-12-13;7;00010PL12_13122022;2022-12-13
METI, MEI;Segurança em Redes e Sistemas de Informação;00010PL12;MEI-A2;9;Ter;14:30:00;16:00:00;13/12/2022;Sala Aulas Mestrado;C5.05;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;PL;True;1.0;2.0;Diurno;C;2022-12-13;8;00010PL12_13122022;2022-12-13
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T01;METI-A1;27;Seg;11:00:00;12:30:00;19/09/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Diurno;AA;2022-09-19;1;00010T01_19092022;2022-09-19
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T01;METI-A1;27;Seg;09:30:00;11:00:00;19/09/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Diurno;AA;2022-09-19;2;00010T01_19092022;2022-09-19
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T01;METI-A1;27;Seg;11:00:00;12:30:00;26/09/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Diurno;AA;2022-09-26;3;00010T01_26092022;2022-09-26
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T01;METI-A1;27;Seg;09:30:00;11:00:00;26/09/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Diurno;AA;2022-09-26;4;00010T01_26092022;2022-09-26
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T01;METI-A1;27;Seg;11:00:00;12:30:00;03/10/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Diurno;AA;2022-10-03;5;00010T01_03102022;2022-10-03
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T01;METI-A1;27;Seg;09:30:00;11:00:00;03/10/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Diurno;AA;2022-10-03;6;00010T01_03102022;2022-10-03
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T01;METI-A1;27;Seg;11:00:00;12:30:00;10/10/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Diurno;AA;2022-10-10;7;00010T01_10102022;2022-10-10
METI, MEI;Segurança em Redes e Sistemas de Informação;00010T01;METI-A1;27;Seg;09:30:00;11:00:00;10/10/2022;Sala Aulas Mestrado;AA3.24;30.0;Sala/anfiteatro aulas, Horário sala visível portal público;T;True;1.0;1.0;Diurno;AA;2022-10-10;8;00010T01_10102022;2022-10-10
