Curso;Unidade de execução;Turno;Professor;Turma;Inscritos no turno;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Características reais da sala;Edifício;Capacidade Normal;Capacidade Exame;Nº características;Anfiteatro aulas;Apoio técnico eventos;Arq 1;Arq 2;Arq 3;Arq 4;Arq 5;Arq 6;Arq 9;BYOD (Bring Your Own Device);Focus Group;Horário sala visível portal público;Laboratório de Arquitectura de Computadores I;Laboratório de Arquitectura de Computadores II;Laboratório de Bases de Engenharia;Laboratório de Electrónica;Laboratório de Informática;Laboratório de Jornalismo;Laboratório de Redes de Computadores I;Laboratório de Redes de Computadores II;Laboratório de Telecomunicações;Sala Aulas Mestrado;Sala Aulas Mestrado Plus;Sala NEE;Sala Provas;Sala Reunião;Sala de Arquitectura;Sala de Aulas normal;videoconferencia;Átrio
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;28/10/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;21/10/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;14/10/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;07/10/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;30/09/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;23/09/2022;Sala/anfiteatro aulas;C5.06;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público;Edifício II (ISCTE-IUL);72;42;5;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;X;
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Fundamentos de Arquitectura de Computadores;L0705TP23;Mauro Castelli;ET-A9, ET-A8, ET-A7, ET-A12, ET-A11, ET-A10;44;Sex;13:00:00;14:30:00;16/09/2022;Não necessita de sala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DF;Investimentos II;01074TP01;Paulo Alves;DFB1;3;Seg;17:30:00;19:00:00;05/12/2022;Sala/anfiteatro aulas;AA2.24;Sala/anfiteatro aulas, Horário sala visível portal público;Ala Autónoma (ISCTE-IUL);30;16;4;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;;X;;
DF;Investimentos II;01074TP01;Paulo Alves;DFB1;3;Seg;17:30:00;19:00:00;28/11/2022;Sala/anfiteatro aulas;D1.07;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;Edifício II (ISCTE-IUL);27;18;5;;;;;;;;;;X;;X;;;;;;;;;;X;X;;;;;X;;
DF;Investimentos II;01074TP01;Paulo Alves;DFB1;3;Seg;17:30:00;19:00:00;21/11/2022;Sala/anfiteatro aulas;D1.07;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;Edifício II (ISCTE-IUL);27;18;5;;;;;;;;;;X;;X;;;;;;;;;;X;X;;;;;X;;
DF;Investimentos II;01074TP01;Paulo Alves;DFB1;3;Seg;17:30:00;19:00:00;14/11/2022;Sala/anfiteatro aulas;D1.07;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;Edifício II (ISCTE-IUL);27;18;5;;;;;;;;;;X;;X;;;;;;;;;;X;X;;;;;X;;
DF;Investimentos II;01074TP01;Paulo Alves;DFB1;3;Seg;17:30:00;19:00:00;07/11/2022;Sala/anfiteatro aulas;D1.07;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;Edifício II (ISCTE-IUL);27;18;5;;;;;;;;;;X;;X;;;;;;;;;;X;X;;;;;X;;
DF;Investimentos II;01074TP01;Paulo Alves;DFB1;3;Seg;17:30:00;19:00:00;31/10/2022;Sala/anfiteatro aulas;D1.07;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público;Edifício II (ISCTE-IUL);27;18;5;;;;;;;;;;X;;X;;;;;;;;;;X;X;;;;;X;;
